Org ID,Organization Name,All Registration Steps Completed before the Deadline?,Reg Form Progress,"Number of ""Pending bCourse"" (Completed Signatory Agreement but not bCourse)","Number of finalized Signatories (Completed both Agreement and bCourse 
(Need 4 to 8)",Org Type,Callink page,Callink Advisor
159291,Dreamers Project Mentorship Program ,No,Not Started,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/dreamersproject,Millicent Morris-Chaney
82711,Drug Policy Alliance of Berkeley,No,Not Started,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/drugpolicyalliance,Millicent Morris-Chaney
91875,"Drum Circle at Berkeley, The",No,Not Started,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/drumcircle,Alejandro Muro
222521,DSTAY,No,Not Started,0,0,NEW ORG PENDING FINAL COMPLETION OF APPROVAL STEPS,https://callink.berkeley.edu/actioncenter/organization/dstay,Deepak Sharma
46110,DULCE (Diabetes: Unidos Logaremos Controlar Esta Enfermedad),No,Not Started,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/dulce,Alejandro Muro
91534,Dutch Student Association at Berkeley,No,Approved,0,3,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/DutchStudentAssociationatBerkeley,Alejandro Muro
46430,Dwinelle Hall Breakers,No,Inprogress,0,1,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/DwinelleHallBreakers,Millicent Morris-Chaney
91260,Earthquake Engineering Research Institute at Berkeley,Yes,Approved,0,4,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/eeri,Dylan Howser
91480,East Asian General Member Association,No,Not Started,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/eastasiangeneralmemberassociation,Alejandro Muro
46442,East Asian Languages & Cultures Undergraduate Student Association,No,Not Started,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/eastasianlanguagesandcultureundergradstudentassn,Alejandro Muro
46534,East Asian Union,Yes,Approved,0,4,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/eastasianunion,Alejandro Muro
91210,East Bay  Community Builders,No,Not Started,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/eastbaycommunitybuilders,Millicent Morris-Chaney
290658,East Bay Business and Medical Translation Association ,Yes,Approved,0,5,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/EastBayBusMedTranslationAssn,Millicent Morris-Chaney
46321,East Bay Community Law Center Steering Committee,No,Not Started,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/gaeastbaycommunitylawcenter,Dylan Howser
91520,East Bay Dreamers Project,Yes,Approved,0,4,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/eastbaydreamerclinic,Dylan Howser
46407,East Bay Jacobin Reading Group,No,Not Started,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/EastBayJacobinReadingGroup,Dylan Howser
220486,East Coast Student Union,Yes,Approved,0,5,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/eastcoaststudentunion,Alejandro Muro
91388,Ecode,Yes,Approved,0,7,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/ecode,Deepak Sharma
46385,Ecology Law Quarterly,Yes,Approved,0,4,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/ecologylawquarterly,Dylan Howser
122811,Economists at Berkeley,No,Not Started,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/EconomistsatBerkeley,Deepak Sharma
91757,Economists for Equity at Berkeley (Formerly Women in Economics at Berkeley),Yes,Approved,0,4,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/web,Dylan Howser
91244,Edge Interns at Berkeley,No,Not Started,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/edgeinterns,Deepak Sharma
46111,Educate!,No,Not Started,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/educate,Millicent Morris-Chaney
46505,Education for All,No,Not Started,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/educationforall,Millicent Morris-Chaney
91619,Education Initiative for Development ,No,Not Started,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/educationinitiativefordevelopment,Millicent Morris-Chaney
219705,Education Practitioners and Innovators of China at Berkeley,Yes,Approved,0,4,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/EPIC_at_Berkeley,Deepak Sharma
319852,Education Reimagined in the Bay,Yes,Approved,0,4,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/educationreimagined,Millicent Morris-Chaney
46629,Education Undergraduates,No,Not Started,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/educationundergraduates,Deepak Sharma
91468,Educational Alliance of Berkeley,No,Not Started,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/educationalalliance,Millicent Morris-Chaney
157548,Educational Opportunity Program STEM Mentorship Program ,No,Not Started,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/eopstem,Deepak Sharma
92001,Educators for a Critical Pedagogy,No,Not Started,0,1,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/educatorsforacriticalpedagogy,Millicent Morris-Chaney
91261,EECS Graduate Student League,Yes,Approved,0,4,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/eecsgraduatestudentleague,Dylan Howser
92094,EFC Chinese Fellowship,No,Not Started,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/efcchinesefellowship,Millicent Morris-Chaney
115778,Effective Altruists of Berkeley,Yes,Approved,0,4,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/EAB,Millicent Morris-Chaney
45941,Eggster Organization,Yes,Approved,0,4,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/eggsterscommittee,Millicent Morris-Chaney
45942,EGO (Cal's Traditional Korean Percussion Group),Yes,Approved,0,4,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/egocalskoreantraditionaldrumminggroup,Alejandro Muro
91515,Egyptian Student Association at Berkeley,No,Inprogress,0,2,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/ESAB,Alejandro Muro
91262,El Club de Español,No,Not Started,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/elclubdeespanol,Deepak Sharma
92003,Elderly Escort at Berkeley,No,Not Started,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/elderlyescort,Millicent Morris-Chaney
158840,Election Law @ Berkeley Law (Formerly ElectionLaw@Boalt),Yes,Approved,0,4,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/electionlawboalt,Dylan Howser
45943,elecTONIC,No,Not Started,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/elecTONIC,Millicent Morris-Chaney
91752,Electrical Engineering and Computer Science Transfer Student Union ,No,Not Started,0,0,NEW ORG PENDING FINAL COMPLETION OF APPROVAL STEPS,https://callink.berkeley.edu/actioncenter/organization/EECSTSU,Alejandro Muro
46456,Electrical Engineering Graduate Student Association,Yes,Approved,0,4,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/EEGSA,Dylan Howser
92163,Electrochemical Association at Berkeley,No,Not Started,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/ecab,Deepak Sharma
46478,"Electrochemical Society, Student Chapter of Berkeley",No,Not Started,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/electrochemicalsocietystudentchapteratberkeley,Dylan Howser
91867,Eleven: The Undergraduate Journal of Sociology,Yes,Approved,0,6,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/eleventheundergraduatejournalofsociology,Millicent Morris-Chaney
121252,Eluci Foundation,No,Not Started,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/eluci,Millicent Morris-Chaney
71598,Embrace- The Berkeley Chapter,No,Not Started,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/embrace,Millicent Morris-Chaney
71589,Empathy FX International,No,Not Started,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/empathyfx,Millicent Morris-Chaney
123501,Employment and Life Skills Academic Competition,No,Not Started,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/TheEmploymentandLifeSkillsAcademicCompetition,Millicent Morris-Chaney
144822,Empowered at Berkeley,No,Not Started,0,0,NEW ORG PENDING FINAL COMPLETION OF APPROVAL STEPS,https://callink.berkeley.edu/actioncenter/organization/empowered,Alejandro Muro
123132,EnableTech,Yes,Approved,0,4,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/ET,Deepak Sharma
91805,Enactus of Berkeley (formerly SIFE),Yes,Approved,0,4,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/Enactus,Deepak Sharma
91991,Endocrinology Graduate Student Group,No,Not Started,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/EndocrinologyGraduateStudentGroup,Dylan Howser
111434,Energant,No,Not Started,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/energant,Millicent Morris-Chaney
91539,Energy and Resources Grad Students (ERGS) ,No,Not Started,0,3,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/ERGS,Dylan Howser
236587,Energy and Resources Group Student Advocacy Committee for Equity and Inclusion,Yes,Approved,0,5,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/ERGStudentAdvocacyCommitteeforEquityandInclusion,Dylan Howser
91265,Energy Business Group,No,Not Started,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/energybusinessgroup,Deepak Sharma
91266,"Energy, Civil Infrastructure, and Climate Group",No,Not Started,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/energycivilinfrastructureandclimategroup,Deepak Sharma
91862,Engineering and Project Management Society,Yes,Approved,0,4,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/epms,Dylan Howser
92005,Engineering for Kids,No,Not Started,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/E4K,Millicent Morris-Chaney
146431,Engineering Solutions at Berkeley,No,Not Started,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/engineeringsolutions,Deepak Sharma
45944,Engineering Student Council ,Yes,Approved,0,8,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/EngineeringStudentCouncil,Deepak Sharma
222009,Engineering Wellness at Berkeley,Yes,Approved,0,4,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/EWB,Alejandro Muro
46113,Engineering World Health,No,Not Started,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/ewh,Millicent Morris-Chaney
46024,Engineers and Mentors of Berkeley,Yes,Approved,0,5,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/beam,Deepak Sharma
46425,Engineers For A Sustainable World -Berkeley,Yes,Approved,0,4,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/esw,Sharon Daraphonhdeth
303807,Engineers in Action at Berkeley,Yes,Approved,0,4,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/engineersinaction,Millicent Morris-Chaney
45945,Engineers Without Borders at Berkeley,Yes,Approved,0,4,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/ewbucb,Millicent Morris-Chaney
91268,English Graduate Association,No,Not Started,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/englishgraduateassociation,Dylan Howser
45946,English Undergraduate Association,Yes,Approved,0,4,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/berkeleyeua,Deepak Sharma
91269,English: Literary Classics and Theory,No,Not Started,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/englishliteraryclassicsandtheory,Deepak Sharma
159392,Entomology Club,Yes,Approved,0,4,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/entomology,Deepak Sharma
46397,Entomology Students' Organization,Yes,Approved,0,4,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/gaentomologystudentsorganization,Dylan Howser
304210,Entrepreneurial Journalism Association,Yes,Approved,0,4,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/eja,Dylan Howser
118067,Entrepreneurial Toasmasters,No,Not Started,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/entrepreneurialtoastmasters,Deepak Sharma
46522,Entrepreneurs @ Berkeley,Yes,Approved,0,4,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/EntrepreneurialSociety,Deepak Sharma
91573,Environmental Clubs and Organizations,No,Not Started,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/eco,Sharon Daraphonhdeth
91833,Environmental Conservation Outreach,Yes,Approved,0,4,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/environmentalconservationoutreach,Dylan Howser
116605,Environmental Consulting Group ,No,Not Started,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/ECG,Sharon Daraphonhdeth
91565,Environmental Engineering Advocacy Team,Yes,Approved,0,4,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/eeat,Dylan Howser
165924,Environmental Health Sciences Graduate Students,Yes,Approved,0,7,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/EHGS,Dylan Howser
52392,Environmental Justice Workshop,No,Not Started,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/GAEJW,Sharon Daraphonhdeth
46458,Environmental Law Society @ Berkeley Law (formerly Boalt Environmental Law Society),Yes,Approved,0,4,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/environmentallawsociety,Dylan Howser
91488,Environmental Sciences Student Association,Yes,Approved,0,4,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/essa,Sharon Daraphonhdeth
91245,Environmental Team,Yes,Approved,0,4,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/enviro,Sharon Daraphonhdeth
61094,ENvision at Berkeley,No,Not Started,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/ENvision,Deepak Sharma
91489,EOP Student Association,No,Not Started,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/eopsa,Deepak Sharma
91734,Epic Movement at Berkeley,No,Not Started,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/epic,Millicent Morris-Chaney
91490,Epidemiology Graduate Student Association,No,Not Started,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/epidemiologygraduatestudentassociation,Dylan Howser
91555,Epsilon Eta,Yes,Approved,0,4,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/epsilon_eta,Sharon Daraphonhdeth
218670,Epsilon Pi at Berkeley,Yes,Approved,0,4,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/epsilonpi,Deepak Sharma
321324,Equity Beyond Barriers at Berkeley,Yes,Approved,0,4,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/equitybeyondbarriers,Millicent Morris-Chaney
234241,ERG Online,Yes,Approved,0,4,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/ergo,Dylan Howser
91720,ERG Salsa Social,No,Not Started,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/ergsalsasocial,Alejandro Muro
91514,Eritrean Student Association of Berkeley,No,Not Started,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/eritreanstudentassociation,Alejandro Muro
119171,Es werde Licht: eine studentische Zeitung für Belletristik,No,Not Started,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/eswerdelicht,Millicent Morris-Chaney
138985,Escape the Lights Social Club,No,Not Started,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/ELS,Millicent Morris-Chaney
91491,ESL 9 Business English Class Group,No,Not Started,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/esl9businessenglishclassgroup,Deepak Sharma
70474,ESPM Graduate Diversity Council,Yes,Approved,0,5,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/espmgdc,Dylan Howser
46398,ESPM Graduate Student Association,Yes,Approved,0,6,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/espmgsa,Dylan Howser
46501,ESPM Graduate Student Research Organizing Committee for the Symposium,Yes,Approved,0,4,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/ESPMGraduateStudentResearchSymposium,Dylan Howser
91493,ESPM S&E Graduate Student Association,No,Not Started,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/espmsegraduatestudentassociation,Dylan Howser
91721,ESPR at Berkeley,No,Not Started,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/espr,Alejandro Muro
91271,Eta Kappa Nu,Yes,Approved,0,7,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/hkn,Deepak Sharma
120547,Eta Omega Chi,Yes,Approved,0,4,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/hox,Deepak Sharma
46624,EthiCal Apparel,Yes,Approved,0,4,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/EthicalApparel,Sharon Daraphonhdeth
91846,Ethnic Studies 1969 Collective,No,Not Started,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/ES1969C,Deepak Sharma
46668,Ethnic Studies Graduate Student Alliance,No,Not Started,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/gaethnicstudiesgraduatestudentalliance,Dylan Howser
91341,Ethnomusicology Graduate Student Working Group,No,Not Started,0,0,NEW ORG PENDING FINAL COMPLETION OF APPROVAL STEPS,https://callink.berkeley.edu/actioncenter/organization/Ethnomusicology_Graduate_Student_Working_Group,Dylan Howser
145169,EU Student Ambassadors at Berkeley,No,Not Started,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/EUambassadors,Alejandro Muro
45949,European Student Union,No,Not Started,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/europeanstudentunion,Alejandro Muro
45940,Evangel Christian Fellowship,No,Not Started,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/eastbaychristianfellowship,Millicent Morris-Chaney
91629,Event Planning Association at Berkeley,No,Not Started,0,0,NEW ORG PENDING FINAL COMPLETION OF APPROVAL STEPS,https://callink.berkeley.edu/actioncenter/organization/eventplanningassociation,Deepak Sharma
92157,EXP Dance,Yes,Approved,0,5,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/exp_dance,Alejandro Muro
55011,Expanding Your Horizons at Berkeley,Yes,Approved,0,6,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/eyh,Dylan Howser
92029,eXperimental Computing Facility,Yes,Approved,0,4,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/xcf,Deepak Sharma
125265,Exposure-Organization of Student Photographers,Yes,Approved,0,9,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/UCBExposureOS,Alejandro Muro
324638,Exsurgo - Professional Development Society of Berkeley,Yes,Approved,0,4,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/Exsurgo,Deepak Sharma
123422,Extended Reality @ Berkeley ,Yes,Approved,0,4,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/ExtendedRealityatBerkeley,Deepak Sharma
46439,Eye to Eye at Berkeley,No,Not Started,0,0,NEW ORG PENDING FINAL COMPLETION OF APPROVAL STEPS,https://callink.berkeley.edu/actioncenter/organization/EyetoEyeatBerkeley,Millicent Morris-Chaney
164406,EyeChat! ,Yes,Approved,0,4,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/eyechat,Dylan Howser
68800,Fabric Publishing Collective,No,Not Started,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/fabric,Millicent Morris-Chaney
46124,FACE AIDS at Berkeley,No,Not Started,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/faceaidsatberkeley,Millicent Morris-Chaney
165193,Faces of African Muslims Students,No,Inprogress,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/www-callinkfam-berkeley-edu,Millicent Morris-Chaney
91753,Fair Trade at Berkeley,No,Not Started,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/fairtrade,Millicent Morris-Chaney
91574,FairPact at Berkeley,No,Not Started,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/fairpact,Millicent Morris-Chaney
236170,Faithful Black Men at Berkeley,No,Not Started,0,0,NEW ORG PENDING FINAL COMPLETION OF APPROVAL STEPS,https://callink.berkeley.edu/actioncenter/organization/faithfulblackmenatberkeley,Alejandro Muro
158539,Falun Dafa Club @ Berkeley ,Yes,Approved,0,4,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/falundafa,Millicent Morris-Chaney
55010,Families Anonymous,No,Not Started,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/families,Millicent Morris-Chaney
92076,Families at BerkeleyLaw,No,Not Started,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/FamiliesatBerkeleyLaw,Dylan Howser
91359,Fantasy Sports at Berkeley,No,Approved,0,3,NEW ORG PENDING FINAL COMPLETION OF APPROVAL STEPS,https://callink.berkeley.edu/actioncenter/organization/fantasysports,Millicent Morris-Chaney
45950,Fashion and Student Trends,Yes,Approved,0,4,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/fashionandstudenttrends,Alejandro Muro
91934,Fashion Business Association (FBA),No,Not Started,0,0,NEW ORG PENDING FINAL COMPLETION OF APPROVAL STEPS,https://callink.berkeley.edu/actioncenter/organization/FashionBusinessAssociation,Deepak Sharma
290100,Fastpitch Softball at Berkeley,Yes,Approved,0,6,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/FastpitchSoftball,Millicent Morris-Chaney
145868,Federalist Society at Berkeley Law,Yes,Approved,0,4,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/fedsocatberkeleylaw,Dylan Howser
55811,Feeding Forward (formerly BareAbundance),No,Not Started,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/feedingforward,Millicent Morris-Chaney
46127,FeelGood,Yes,Approved,0,4,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/feelgood,Millicent Morris-Chaney
45951,Fei Tian Dancers,Yes,Approved,0,4,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/feitiandancers,Alejandro Muro
45952,Fellowship in Christ in Berkeley,Yes,Approved,0,4,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/FiCB,Millicent Morris-Chaney
158544,Fellowship of Christian Optometrists,No,Not Started,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/FCO,Dylan Howser
92098,Fellowship of College and University Students,No,Not Started,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/focus,Millicent Morris-Chaney
164472,Feminist,No,Not Started,0,0,NEW ORG PENDING FINAL COMPLETION OF APPROVAL STEPS,https://callink.berkeley.edu/actioncenter/organization/feminist,Alejandro Muro
219589,Feminist Majority Leadership Alliance of Berkeley,Yes,Approved,0,4,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/FMLA,Millicent Morris-Chaney
135410,FEMTech,Yes,Approved,0,5,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/femtech,Alejandro Muro
77186,Ferments at Berkeley (formerly known as Californium Brewing and Winemaking),No,Not Started,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/Ferments,Millicent Morris-Chaney
91996,Fiat Lux for Women,No,Not Started,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/fiatluxforwomen,Alejandro Muro
326052,Fiat Lux Institute of Policy ,Yes,Approved,0,4,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/FLIP,Millicent Morris-Chaney
91236,Fiat Lux Scholars Association (Formerly Cal Opportunity Scholars Association),Yes,Approved,0,4,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/fiatluxberkeley,Deepak Sharma
